ID de comentario,ID de canal,Marca de tiempo de creación del comentario,Precio,ID de comentario principal,ID de publicación,ID de vídeo,Texto del comentario,ID de comentario de nivel superior
Ugx7KU3WVQYerTCqH2h4AaABAg,UCrPbFn1WLEtkQE8eAuDzVVA,2018-05-14T06:10:55.334008+00:00,0,,,JRs73Heh_9w,"{""text"":""You have the most adorable voice💕""}",
UgyvxUecSjDpfHvjB8V4AaABAg,UCrPbFn1WLEtkQE8eAuDzVVA,2018-05-07T01:29:11.996836+00:00,0,,,wRtaaJno-l4,"{""text"":""Necesitamos más marianas marteeeen""}",
Ugy7646RrHRzAM4pqq94AaABAg,UCrPbFn1WLEtkQE8eAuDzVVA,2018-05-04T06:46:18.898531+00:00,0,,,B96h4SJpH7Q,"{""text"":""I need more ASMRs from you TO SURVIVE""}",
UgydjTN41O8eKa27swd4AaABAg,UCrPbFn1WLEtkQE8eAuDzVVA,2018-05-02T22:48:07.747471+00:00,0,,,sVejdo3zTHs,"{""text"":""vamos mi barbie guerrera yo se que tarde o temprano encontrarás EL AMAAAAAARRR""}",
Ugyh_r5te9aYrUE7aiN4AaABAg.8dzImPCEiqC8e2-ON52K8K,UCrPbFn1WLEtkQE8eAuDzVVA,2018-03-21T03:28:57.625015+00:00,0,Ugyh_r5te9aYrUE7aiN4AaABAg,,vENvpIyIpoY,"{""text"":""Un poco,,,,,,,,""}",Ugyh_r5te9aYrUE7aiN4AaABAg
UgyymkSrBKjsu6S1Kup4AaABAg,UCrPbFn1WLEtkQE8eAuDzVVA,2018-03-07T03:05:52.134885+00:00,0,,,AT1sB5X3ASk,"{""text"":""Vos me \""tolerarás\"" pero yo no te tolero homofóbica vas a arder en el infierno""}",
UgyBMYIASNaOtLQIam54AaABAg,UCrPbFn1WLEtkQE8eAuDzVVA,2018-02-04T13:23:16.149983+00:00,0,,,GLuH6n5C_j0,"{""text"":""Vos te escuchás tipo cuando hablás?""}",
Ugy2sqeazCmzPu20u414AaABAg,UCrPbFn1WLEtkQE8eAuDzVVA,2018-02-02T19:04:15.166221+00:00,0,,,sBMoBqOHipI,"{""text"":""WE WERE BORN ON THE SAME DAY I JUST LOVE YOU""}",
UgwwZQRsqaO90dJC97p4AaABAg,UCrPbFn1WLEtkQE8eAuDzVVA,2018-01-24T03:17:28.093081+00:00,0,,,6z6wMZAYaxE,"{""text"":""I just fucking love The Vaccines""}",
UgyT0UX2-8trT1R5Om94AaABAg.8YwsOc6paj68b_kE0QbnnW,UCrPbFn1WLEtkQE8eAuDzVVA,2018-01-19T01:46:58.295012+00:00,0,UgyT0UX2-8trT1R5Om94AaABAg,,G2gaVjhS_I8,"{""text"":""Yo tengo Asperger y si levanto papá contate otra""}",UgyT0UX2-8trT1R5Om94AaABAg
Ugx2iFKqoIFDfVUEPTh4AaABAg,UCrPbFn1WLEtkQE8eAuDzVVA,2018-01-13T06:47:26.32603+00:00,0,,,Y6A4Tkx5s44,"{""text"":""This tips have been added to mi 2018 goals. Thank you Ruby for being so helpful and lovely! kisses from Argentina""}",
UgzWzge6ncP5YeHicKl4AaABAg,UCrPbFn1WLEtkQE8eAuDzVVA,2018-01-09T18:42:55.727979+00:00,0,,,a2CUDDhTlyg,"{""text"":""Jeffree this video is o r g a s m i c""}",
Ugz1RsOeHY-qNQ4MptR4AaABAg,UCrPbFn1WLEtkQE8eAuDzVVA,2017-11-27T17:33:12.400227+00:00,0,,,bhdCSlxLq0I,"{""text"":""How many times did you just said like you talk like two of the kardashians""}",





